"ADMIN0","IU_ID","IUs_NAME","Cov2000","Cov2001","Cov2002","Cov2003","Cov2004","Cov2005","Cov2006","Cov2007","Cov2008","Cov2009","Cov2010","Cov2011","Cov2012","Cov2013","Cov2014","Cov2015","Cov2016","Cov2017","Cov2018","Cov2019","Cov2020","Cov2021","Cov2022","MDA_schemebefore2013","MDA_scheme2013","MDA_scheme2014","MDA_scheme2015","MDA_scheme2016","MDA_scheme2017","MDA_scheme2018","MDA_scheme2019","MDA_scheme2020","MDA_scheme2021","MDA_scheme2022"
"Mali","MLI29979","Bourem",0,0,0,0,0,0,0,0,0,86.9402927,94.24282587,89.18013377,0,0,0,58.07,71.08,86.75,0,0,0,0,0,"ALB+IVM","Not delivered","Not delivered","ALB+IVM","ALB+IVM","ALB+IVM","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered"
"Mauritania","MRT31087","Ouad Naga",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered"
"Mauritania","MRT31084","Boutilimit",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered"
"Sudan","SDN66094","Haya",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered"
"Mauritania","MRT31078","Moudjeria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered"
"Sudan","SDN66086","Algolid",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered"
"Chad","TCD10746","Kirdimi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered"
"Sudan","SDN66098","Toker",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered"
"Sudan","SDN66101","Berber",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered"
"Mauritania","MRT31049","Magta-lahjar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered"
"Sudan","SDN66085","Aldaba",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered"
"Mauritania","MRT31070","Dar Naim",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered"
"Chad","TCD10675","Amdjarass",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered"
"Sudan","SDN66091","Agig",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered"
"Mauritania","MRT31040","Boumdeid",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered"
"Sudan","SDN66100","Atbra",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered"
"Mauritania","MRT31075","TEVRAGH ZEIN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered"
"Mauritania","MRT31071","ELMINA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered","Not delivered"
